guess,compare,ans
8526,1A1B,7823
0627,1A1B,7823
7214,1A1B,7823
2489,0A2B,7823
5483,1A1B,7823
8156,0A1B,7823
8154,0A1B,7823
4318,0A2B,7823
5031,0A1B,7823
5340,0A1B,7823
3854,1A1B,7823
8369,0A2B,7823
3594,0A1B,7823
3947,0A2B,7823
3720,1A2B,7823
0283,1A2B,7823
2036,0A2B,7823
7803,3A0B,7823
7103,2A0B,7823
1874,1A1B,7823
5879,1A1B,7823
8069,0A1B,7823
9506,0A0B,7823
9867,1A1B,7823
2874,1A2B,7823
4817,1A1B,7823
2317,0A3B,7823
4713,1A1B,7823
4832,1A2B,7823
1428,1A1B,7823
8371,0A3B,7823
3478,0A3B,7823
4328,1A2B,7823
4372,0A3B,7823
3174,0A2B,7823
8724,1A2B,7823
4718,0A2B,7823
2341,0A2B,7823
7348,1A2B,7823
7823,4A0B,7823
